,Company Name,Industry,Symbol,Series,ISIN Code,m_cap
107,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026,6919.8
108,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,110614.3
109,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,17019.6
110,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,21938.5
111,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,25346.7
112,Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,9088.2
113,Epigral Ltd.,Chemicals,EPIGRAL,EQ,INE071N01016,3893.3
114,Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,12346.8
115,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,32892.0
116,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,25189.8
117,FDC Ltd.,Healthcare,FDC,EQ,INE258B01022,6483.1
118,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,48791.3
119,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,37459.5
120,Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026,14833.0
121,Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,16272.7
122,Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,13129.3
123,Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,12978.0
124,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,29903.9
125,G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022,11457.6
126,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,101256.5
127,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,7158.1
128,Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018,9433.5
129,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,19877.1
130,Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,31145.1
131,Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024,8022.5
132,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,23813.6
133,Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,25867.0
134,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011,6932.9
135,Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01021,10002.8
136,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,10976.2
137,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,111799.4
138,Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,23785.5
139,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,55154.7
140,Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,9613.6
141,Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,10657.7
142,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,136269.3
143,Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023,24434.2
144,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030,8445.3
145,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,39602.6
146,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,31070.5
147,Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,7188.8
148,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,16774.0
149,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,395693.1
150,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,1277321.7
151,HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,12258.9
152,HLE Glascoat Ltd.,Capital Goods,HLEGLAS,EQ,INE461D01028,3691.5
153,Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,85341.7
154,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,81303.1
155,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,130304.8
156,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,188638.0
157,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,22555.8
158,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,607310.6
159,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,131703.2
160,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,21864.3
161,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,697972.3
162,ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,23308.4
163,IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,70374.5
164,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,62541.3
165,IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,19895.8
166,IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,22589.5
167,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,569449.2
168,ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,29114.9
169,India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,8097.6
170,Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,55185.1
171,Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,13946.1
172,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,180822.5
173,Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,81091.3
174,Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,6991.5
175,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,28829.5
176,Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,49964.1
177,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,122166.2
178,Infibeam Avenues Ltd.,Financial Services,INFIBEAM,EQ,INE483S01020,6098.5
179,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,65712.9
180,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,640806.5
181,Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,11261.7
182,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,112738.4
183,Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,26857.1
184,JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044,17028.8
185,JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032,10420.3
186,JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012,6685.5
187,JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,9249.5
188,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,68278.7
189,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,208426.0
190,Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032,4323.3
191,Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01024,13498.4
192,Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,45877.7
193,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,74435.8
194,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,37624.4
195,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,8009.5
196,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,8562.2
197,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,17554.4
198,KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,27629.7
199,KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029,7475.2
200,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,41880.9
201,KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026,8220.6
202,KSB Ltd.,Capital Goods,KSB,EQ,INE999A01015,11977.4
203,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,21745.1
204,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,35361.7
205,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024,26292.5
206,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,13146.1
207,Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,16830.6
208,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,375017.4
209,L&T Finance Holdings Ltd.,Financial Services,L&TFH,EQ,INE498L01015,38059.9
210,L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,54959.7
211,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,28262.2
212,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,185234.4
213,Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH,EQ,INE269B01029,14101.1
214,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,490604.1
215,Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,9351.1
216,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,23469.3
217,Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020,7956.1
218,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,9542.6
219,Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,48516.9
220,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,58402.5
221,Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020,4002.4
222,MMTC Ltd.,Services,MMTC,EQ,INE123F01029,8962.5
223,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,51007.5
224,MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014,6689.0
225,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029,91891.5
226,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,11755.1
227,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,206705.6
228,Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,14546.0
229,Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,77143.3
230,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,68502.0
231,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,322911.9
232,Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021,8489.4
233,Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,32100.9
234,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,65583.7
235,Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022,8699.0
236,Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021,35285.4
237,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,8680.9
238,Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,9234.4
239,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,51181.9
240,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,58243.5
241,NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,14094
242,NCC Ltd.,Construction,NCC,EQ,INE868B01028,10516.4
243,NHPC Ltd.,Power,NHPC,EQ,INE848E01016,64890.9
244,NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,34693.6
245,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,59154.3
246,NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,14623.7
247,NTPC Ltd.,Power,NTPC,EQ,INE733E01010,300208.8
248,Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,24213.7
249,Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021,6297.9
250,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,246458.3
251,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,50931.6
252,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,41391.7
253,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,10293.3
